ID,gender,age,agecat,ed,edcat,jobcat,empcat,retire,income,inccat,debtinc,jobsat,marital,homeown,card,default
194,Female,49,35-49,12,High school degree,Sales and Office,6 to 10,No,36,$25 - $49,14.9,Somewhat dissatisfied,Unmarried,Own,Visa,No
195,Male,20,18-24,11,Did not complete high school,Managerial and Professional,Less than 2,No,19,Under $25,4.6,Highly dissatisfied,Married,Rent,Discover,No
196,Male,25,25-34,19,College degree,Service,Less than 2,No,31,$25 - $49,23.4,Somewhat satisfied,Unmarried,Own,Mastercard,Yes
197,Female,47,35-49,11,Did not complete high school,Managerial and Professional,More than 15,No,66,$50 - $74,15.1,Neutral,Married,Own,American Express,No
198,Male,66,65+,13,High school degree,"Operation, Fabrication, General Labor",More than 15,Yes,23,Under $25,10.4,Somewhat dissatisfied,Married,Own,Visa,No
199,Female,18,18-24,13,High school degree,Service,Less than 2,No,15,Under $25,4.9,Somewhat dissatisfied,Married,Own,Mastercard,No
200,Male,25,25-34,10,Did not complete high school,Agricultural and Natural Resources,6 to 10,No,21,Under $25,8.9,Somewhat satisfied,Married,Own,Discover,No
201,Female,68,65+,16,Some college,"Operation, Fabrication, General Labor",More than 15,No,237,$125+,5,Neutral,Unmarried,Own,Mastercard,No
202,Male,49,35-49,15,Some college,Service,More than 15,No,208,$125+,8.3,Somewhat satisfied,Married,Own,American Express,No
203,Female,26,25-34,17,College degree,Managerial and Professional,Less than 2,No,82,$75 - $124,10.1,Highly satisfied,Married,Own,Mastercard,Yes
204,Female,62,50-64,13,High school degree,Service,More than 15,No,182,$125+,26.2,Neutral,Unmarried,Own,Other,Yes
205,Male,20,18-24,15,Some college,"Operation, Fabrication, General Labor",Less than 2,No,17,Under $25,3.9,Highly dissatisfied,Married,Own,American Express,Yes
206,Female,74,65+,9,Did not complete high school,Managerial and Professional,More than 15,No,62,$50 - $74,10.7,Somewhat satisfied,Unmarried,Own,Discover,No
207,Female,30,25-34,15,Some college,Service,2 to 5,No,30,$25 - $49,30.6,Neutral,Unmarried,Own,Visa,Yes
208,Female,64,50-64,11,Did not complete high school,Sales and Office,2 to 5,No,18,Under $25,6.1,Highly dissatisfied,Married,Rent,Discover,No
209,Male,22,18-24,16,Some college,Sales and Office,Less than 2,No,20,Under $25,3.8,Highly dissatisfied,Unmarried,Rent,American Express,Yes
210,Male,66,65+,9,Did not complete high school,"Operation, Fabrication, General Labor",More than 15,Yes,88,$75 - $124,8.3,Highly satisfied,Unmarried,Own,Visa,No
211,Male,42,35-49,11,Did not complete high school,"Operation, Fabrication, General Labor",6 to 10,No,46,$25 - $49,11,Somewhat satisfied,Married,Own,American Express,No
212,Male,45,35-49,23,Post-undergraduate degree,Sales and Office,2 to 5,No,58,$50 - $74,9.6,Highly dissatisfied,Unmarried,Rent,Discover,No
213,Female,75,65+,16,Some college,Managerial and Professional,6 to 10,No,28,$25 - $49,3.9,Somewhat satisfied,Unmarried,Rent,Mastercard,No
214,Male,43,35-49,17,College degree,Sales and Office,2 to 5,No,127,$125+,6.9,Somewhat satisfied,Unmarried,Own,Mastercard,No
215,Female,35,35-49,15,Some college,Sales and Office,Less than 2,No,51,$50 - $74,18.3,Highly dissatisfied,Unmarried,Own,American Express,Yes
216,Female,31,25-34,13,High school degree,"Operation, Fabrication, General Labor",6 to 10,No,29,$25 - $49,12.4,Highly satisfied,Unmarried,Rent,Discover,Yes
217,Male,70,65+,18,College degree,Service,More than 15,No,141,$125+,10.7,Highly satisfied,Married,Own,Visa,Yes
218,Male,22,18-24,17,College degree,Sales and Office,Less than 2,No,20,Under $25,14.9,Somewhat dissatisfied,Married,Rent,Discover,No
219,Male,42,35-49,17,College degree,Sales and Office,Less than 2,No,30,$25 - $49,9.7,Highly satisfied,Unmarried,Own,Visa,Yes
220,Female,57,50-64,8,Did not complete high school,Sales and Office,2 to 5,No,19,Under $25,6.8,Highly satisfied,Unmarried,Rent,Other,No
221,Male,43,35-49,18,College degree,Sales and Office,6 to 10,No,22,Under $25,11,Highly satisfied,Unmarried,Rent,American Express,No
222,Female,65,65+,13,High school degree,Managerial and Professional,6 to 10,No,55,$50 - $74,21.2,Highly satisfied,Married,Own,Visa,No
223,Female,66,65+,14,High school degree,"Precision Production, Craft, Repair",More than 15,No,350,$125+,3.9,Highly satisfied,Unmarried,Rent,American Express,No
224,Female,78,65+,16,Some college,Managerial and Professional,6 to 10,Yes,17,Under $25,9.5,Somewhat dissatisfied,Unmarried,Rent,Visa,No
225,Female,24,18-24,16,Some college,Managerial and Professional,Less than 2,No,30,$25 - $49,4.4,Highly dissatisfied,Unmarried,Own,Mastercard,No
226,Female,68,65+,13,High school degree,Managerial and Professional,6 to 10,Yes,10,Under $25,4.2,Highly satisfied,Unmarried,Own,Visa,No
227,Female,23,18-24,16,Some college,"Precision Production, Craft, Repair",Less than 2,No,26,$25 - $49,2.7,Highly dissatisfied,Married,Own,American Express,Yes
228,Female,22,18-24,11,Did not complete high school,Managerial and Professional,Less than 2,No,23,Under $25,7.6,Highly dissatisfied,Married,Own,Visa,Yes
229,Male,26,25-34,12,High school degree,Sales and Office,2 to 5,No,21,Under $25,9.4,Highly dissatisfied,Married,Own,Discover,No
230,Female,32,25-34,13,High school degree,Sales and Office,2 to 5,No,22,Under $25,5.4,Somewhat satisfied,Married,Own,Mastercard,No
231,Male,49,35-49,16,Some college,Managerial and Professional,6 to 10,No,60,$50 - $74,3.8,Highly satisfied,Unmarried,Rent,Visa,No
232,Female,65,65+,11,Did not complete high school,"Operation, Fabrication, General Labor",More than 15,Yes,32,$25 - $49,6.9,Neutral,Unmarried,Rent,Visa,No
233,Female,39,35-49,18,College degree,Managerial and Professional,6 to 10,No,34,$25 - $49,17.3,Somewhat satisfied,Unmarried,Rent,Mastercard,No
234,Female,25,25-34,18,College degree,Sales and Office,Less than 2,No,37,$25 - $49,1.2,Highly dissatisfied,Unmarried,Own,Discover,Yes
235,Male,23,18-24,15,Some college,"Operation, Fabrication, General Labor",2 to 5,No,31,$25 - $49,1,Highly dissatisfied,Unmarried,Own,Discover,No
236,Female,50,50-64,14,High school degree,Service,More than 15,No,59,$50 - $74,6.6,Highly dissatisfied,Unmarried,Rent,American Express,No
237,Male,49,35-49,13,High school degree,Sales and Office,2 to 5,No,37,$25 - $49,14.3,Highly satisfied,Unmarried,Own,Mastercard,Yes
238,Male,32,25-34,10,Did not complete high school,Service,6 to 10,No,30,$25 - $49,5.3,Highly dissatisfied,Married,Own,Discover,No
239,Male,45,35-49,19,College degree,"Precision Production, Craft, Repair",11 to 15,No,83,$75 - $124,5.4,Somewhat satisfied,Unmarried,Own,Visa,No
240,Female,34,25-34,18,College degree,Sales and Office,2 to 5,No,31,$25 - $49,10.9,Highly dissatisfied,Married,Own,Discover,Yes
241,Female,19,18-24,14,High school degree,"Operation, Fabrication, General Labor",Less than 2,No,43,$25 - $49,17.9,Highly dissatisfied,Unmarried,Rent,Mastercard,Yes
242,Female,22,18-24,17,College degree,"Operation, Fabrication, General Labor",Less than 2,No,19,Under $25,3.5,Highly dissatisfied,Married,Own,Visa,No
243,Female,30,25-34,16,Some college,Service,2 to 5,No,64,$50 - $74,7.3,Highly dissatisfied,Married,Own,Mastercard,No
244,Male,51,50-64,18,College degree,Sales and Office,Less than 2,No,24,Under $25,11.6,Neutral,Unmarried,Own,Visa,No
245,Female,52,50-64,16,Some college,Managerial and Professional,6 to 10,No,33,$25 - $49,10,Somewhat satisfied,Unmarried,Rent,Discover,No
246,Female,27,25-34,18,College degree,Sales and Office,Less than 2,No,17,Under $25,11.3,Highly dissatisfied,Married,Rent,Mastercard,Yes
247,Female,18,18-24,13,High school degree,Sales and Office,Less than 2,No,21,Under $25,4.5,Neutral,Married,Own,Discover,Yes
248,Male,42,35-49,14,High school degree,Sales and Office,2 to 5,No,34,$25 - $49,14.7,Somewhat satisfied,Married,Own,Discover,No
249,Female,31,25-34,18,College degree,Service,2 to 5,No,78,$75 - $124,5.6,Neutral,Married,Own,Visa,No
250,Male,18,18-24,13,High school degree,Managerial and Professional,Less than 2,No,19,Under $25,22.2,Highly dissatisfied,Married,Own,Mastercard,Yes
251,Male,32,25-34,12,High school degree,Managerial and Professional,2 to 5,No,29,$25 - $49,9.3,Somewhat satisfied,Unmarried,Rent,Discover,No
252,Male,64,50-64,21,Post-undergraduate degree,Managerial and Professional,11 to 15,No,66,$50 - $74,16.4,Somewhat dissatisfied,Unmarried,Rent,Discover,No
253,Male,39,35-49,17,College degree,Managerial and Professional,2 to 5,No,50,$50 - $74,15.6,Somewhat dissatisfied,Unmarried,Rent,Mastercard,Yes
254,Female,49,35-49,16,Some college,Managerial and Professional,6 to 10,No,50,$50 - $74,6.5,Somewhat dissatisfied,Unmarried,Rent,Discover,No
255,Female,75,65+,15,Some college,Managerial and Professional,11 to 15,No,74,$50 - $74,2.8,Somewhat satisfied,Married,Rent,Mastercard,No
256,Male,29,25-34,13,High school degree,Managerial and Professional,2 to 5,No,20,Under $25,9.3,Somewhat satisfied,Unmarried,Own,Visa,No
257,Male,23,18-24,15,Some college,Managerial and Professional,Less than 2,No,64,$50 - $74,4.3,Highly dissatisfied,Married,Own,Visa,Yes
258,Female,79,65+,12,High school degree,Sales and Office,More than 15,Yes,9,Under $25,7.8,Somewhat satisfied,Unmarried,Own,American Express,No
259,Female,74,65+,11,Did not complete high school,Service,More than 15,Yes,16,Under $25,9.9,Neutral,Unmarried,Rent,Visa,No
260,Male,38,35-49,16,Some college,Managerial and Professional,6 to 10,No,76,$75 - $124,2.6,Neutral,Unmarried,Own,Mastercard,No
261,Male,68,65+,13,High school degree,Sales and Office,6 to 10,Yes,11,Under $25,4.5,Neutral,Unmarried,Own,American Express,Yes
262,Male,28,25-34,20,Post-undergraduate degree,Managerial and Professional,Less than 2,No,55,$50 - $74,16.5,Highly dissatisfied,Unmarried,Rent,Visa,Yes
263,Female,65,65+,17,College degree,Managerial and Professional,6 to 10,No,28,$25 - $49,3.5,Highly dissatisfied,Unmarried,Own,Visa,No
264,Female,60,50-64,15,Some college,Service,More than 15,No,191,$125+,11.3,Neutral,Married,Rent,Visa,No
265,Female,72,65+,15,Some college,Managerial and Professional,More than 15,Yes,17,Under $25,9.7,Somewhat dissatisfied,Married,Rent,Mastercard,No
266,Female,48,35-49,15,Some college,Sales and Office,2 to 5,No,27,$25 - $49,6.5,Highly dissatisfied,Married,Own,Discover,No
267,Male,33,25-34,14,High school degree,Service,2 to 5,No,53,$50 - $74,5,Highly dissatisfied,Married,Rent,Mastercard,No
268,Male,26,25-34,15,Some college,Sales and Office,Less than 2,No,37,$25 - $49,11,Highly dissatisfied,Unmarried,Own,Discover,No
269,Male,75,65+,11,Did not complete high school,"Operation, Fabrication, General Labor",More than 15,Yes,21,Under $25,10.1,Somewhat satisfied,Married,Own,Mastercard,No
270,Female,29,25-34,17,College degree,Sales and Office,Less than 2,No,47,$25 - $49,8.3,Neutral,Unmarried,Own,Discover,Yes
271,Male,30,25-34,18,College degree,Managerial and Professional,Less than 2,No,30,$25 - $49,9.9,Highly dissatisfied,Married,Own,Discover,Yes
272,Male,74,65+,21,Post-undergraduate degree,Sales and Office,6 to 10,Yes,9,Under $25,1,Highly dissatisfied,Unmarried,Rent,Discover,No
273,Male,64,50-64,11,Did not complete high school,Managerial and Professional,More than 15,No,69,$50 - $74,7.9,Highly satisfied,Unmarried,Own,Mastercard,No
274,Female,61,50-64,16,Some college,Managerial and Professional,2 to 5,No,35,$25 - $49,26.1,Highly dissatisfied,Unmarried,Own,Visa,No
275,Female,20,18-24,15,Some college,Sales and Office,Less than 2,No,28,$25 - $49,9.8,Highly dissatisfied,Married,Own,American Express,Yes
276,Female,64,50-64,8,Did not complete high school,"Operation, Fabrication, General Labor",More than 15,No,143,$125+,10,Highly satisfied,Unmarried,Own,Discover,No
277,Female,66,65+,16,Some college,Managerial and Professional,11 to 15,No,80,$75 - $124,17.9,Highly dissatisfied,Married,Own,Discover,No
278,Female,59,50-64,17,College degree,Sales and Office,2 to 5,No,18,Under $25,8.8,Somewhat satisfied,Unmarried,Own,Mastercard,No
279,Female,54,50-64,12,High school degree,Sales and Office,6 to 10,No,41,$25 - $49,8.7,Neutral,Unmarried,Own,Mastercard,No
280,Female,55,50-64,13,High school degree,Sales and Office,2 to 5,No,32,$25 - $49,20.9,Somewhat dissatisfied,Married,Rent,Discover,No
281,Male,71,65+,17,College degree,Managerial and Professional,More than 15,No,310,$125+,14.2,Neutral,Married,Own,American Express,No
282,Male,55,50-64,17,College degree,Sales and Office,6 to 10,No,182,$125+,4.7,Somewhat dissatisfied,Married,Own,Discover,No
283,Female,32,25-34,14,High school degree,"Precision Production, Craft, Repair",2 to 5,No,25,$25 - $49,3.8,Neutral,Married,Rent,Mastercard,No
284,Female,19,18-24,14,High school degree,"Operation, Fabrication, General Labor",Less than 2,No,19,Under $25,24.1,Somewhat dissatisfied,Married,Own,Visa,Yes
285,Male,68,65+,21,Post-undergraduate degree,"Precision Production, Craft, Repair",More than 15,Yes,10,Under $25,13.1,Highly satisfied,Unmarried,Rent,Visa,No
286,Female,54,50-64,12,High school degree,Managerial and Professional,11 to 15,No,83,$75 - $124,7.3,Somewhat satisfied,Unmarried,Own,Visa,No
287,Female,52,50-64,15,Some college,Managerial and Professional,6 to 10,No,165,$125+,9.7,Highly satisfied,Unmarried,Own,Visa,No
288,Female,43,35-49,11,Did not complete high school,Sales and Office,2 to 5,No,43,$25 - $49,1.7,Neutral,Married,Own,Discover,No
289,Female,77,65+,14,High school degree,"Operation, Fabrication, General Labor",More than 15,Yes,58,$50 - $74,12.3,Somewhat satisfied,Married,Rent,Mastercard,No
290,Female,30,25-34,17,College degree,"Operation, Fabrication, General Labor",2 to 5,No,40,$25 - $49,12.6,Highly satisfied,Unmarried,Rent,Discover,Yes
291,Female,55,50-64,17,College degree,"Operation, Fabrication, General Labor",More than 15,No,143,$125+,6.4,Somewhat satisfied,Married,Own,Mastercard,No
292,Female,54,50-64,17,College degree,Managerial and Professional,11 to 15,No,118,$75 - $124,25.6,Somewhat satisfied,Unmarried,Own,American Express,Yes
293,Female,31,25-34,17,College degree,Service,2 to 5,No,18,Under $25,20.2,Neutral,Unmarried,Own,Visa,Yes
294,Female,60,50-64,17,College degree,"Operation, Fabrication, General Labor",More than 15,Yes,20,Under $25,22.4,Highly satisfied,Married,Own,American Express,No
295,Female,39,35-49,17,College degree,Managerial and Professional,2 to 5,No,36,$25 - $49,17.1,Somewhat dissatisfied,Unmarried,Own,Visa,No
296,Female,25,25-34,14,High school degree,Managerial and Professional,2 to 5,No,13,Under $25,8.6,Somewhat dissatisfied,Married,Rent,American Express,No
297,Male,33,25-34,8,Did not complete high school,Agricultural and Natural Resources,6 to 10,No,25,$25 - $49,8.1,Somewhat satisfied,Unmarried,Rent,Mastercard,No
298,Male,26,25-34,19,College degree,Managerial and Professional,Less than 2,No,36,$25 - $49,3.9,Neutral,Unmarried,Own,American Express,Yes
299,Male,62,50-64,14,High school degree,"Precision Production, Craft, Repair",More than 15,Yes,11,Under $25,23.1,Highly satisfied,Married,Rent,Visa,No
300,Male,43,35-49,20,Post-undergraduate degree,Sales and Office,2 to 5,No,42,$25 - $49,5.4,Highly satisfied,Unmarried,Rent,Discover,No
301,Male,62,50-64,11,Did not complete high school,Sales and Office,11 to 15,No,48,$25 - $49,11,Highly satisfied,Married,Rent,Visa,Yes
302,Female,51,50-64,10,Did not complete high school,Managerial and Professional,6 to 10,No,31,$25 - $49,19,Somewhat satisfied,Unmarried,Own,Discover,No
303,Male,37,35-49,13,High school degree,Sales and Office,2 to 5,No,16,Under $25,11.8,Somewhat dissatisfied,Unmarried,Rent,Visa,Yes
304,Male,75,65+,13,High school degree,Sales and Office,6 to 10,Yes,14,Under $25,5.7,Somewhat satisfied,Married,Own,Visa,No
305,Male,68,65+,13,High school degree,Managerial and Professional,6 to 10,No,47,$25 - $49,18.4,Neutral,Married,Rent,Discover,Yes
306,Male,55,50-64,17,College degree,Service,More than 15,No,181,$125+,5.1,Somewhat satisfied,Unmarried,Rent,Discover,No
307,Female,39,35-49,19,College degree,Managerial and Professional,6 to 10,No,92,$75 - $124,11.6,Highly dissatisfied,Unmarried,Own,Visa,Yes
308,Female,31,25-34,18,College degree,"Precision Production, Craft, Repair",2 to 5,No,33,$25 - $49,3.5,Somewhat satisfied,Unmarried,Own,Discover,Yes
309,Female,72,65+,15,Some college,Managerial and Professional,11 to 15,No,43,$25 - $49,11.3,Neutral,Married,Rent,Mastercard,Yes
310,Male,71,65+,20,Post-undergraduate degree,Service,More than 15,No,193,$125+,3.3,Neutral,Married,Own,Discover,No
311,Female,27,25-34,15,Some college,Managerial and Professional,2 to 5,No,33,$25 - $49,2.7,Neutral,Unmarried,Own,Visa,No
312,Male,58,50-64,13,High school degree,Service,11 to 15,No,54,$50 - $74,16.4,Somewhat satisfied,Unmarried,Own,Mastercard,No
313,Female,42,35-49,12,High school degree,Sales and Office,2 to 5,No,117,$75 - $124,0.9,Somewhat satisfied,Unmarried,Own,Other,No
314,Female,60,50-64,11,Did not complete high school,Service,More than 15,No,73,$50 - $74,9.8,Highly satisfied,Unmarried,Own,Mastercard,No
315,Male,44,35-49,20,Post-undergraduate degree,Agricultural and Natural Resources,6 to 10,No,33,$25 - $49,7.2,Neutral,Unmarried,Rent,American Express,No
316,Female,70,65+,14,High school degree,Managerial and Professional,More than 15,No,102,$75 - $124,13.3,Somewhat satisfied,Unmarried,Own,American Express,No
317,Male,67,65+,17,College degree,Managerial and Professional,More than 15,No,103,$75 - $124,21.3,Highly satisfied,Married,Own,Visa,Yes
318,Male,49,35-49,15,Some college,Sales and Office,2 to 5,No,36,$25 - $49,7.5,Neutral,Married,Own,Discover,No
319,Female,44,35-49,16,Some college,Service,11 to 15,No,64,$50 - $74,11.5,Neutral,Married,Own,Mastercard,No
320,Female,27,25-34,16,Some college,"Operation, Fabrication, General Labor",2 to 5,No,30,$25 - $49,0.5,Neutral,Married,Own,American Express,Yes
321,Female,54,50-64,13,High school degree,Managerial and Professional,More than 15,No,74,$50 - $74,17.3,Highly satisfied,Unmarried,Rent,American Express,No
322,Female,52,50-64,15,Some college,Service,More than 15,No,81,$75 - $124,4.9,Somewhat satisfied,Unmarried,Rent,American Express,No
323,Male,26,25-34,20,Post-undergraduate degree,Service,Less than 2,No,37,$25 - $49,4,Neutral,Unmarried,Own,Other,No
324,Male,45,35-49,14,High school degree,Managerial and Professional,6 to 10,No,63,$50 - $74,14,Highly satisfied,Unmarried,Own,Discover,No
325,Female,20,18-24,15,Some college,"Operation, Fabrication, General Labor",Less than 2,No,23,Under $25,13.3,Highly dissatisfied,Married,Own,Visa,No
326,Male,62,50-64,16,Some college,Agricultural and Natural Resources,More than 15,Yes,20,Under $25,4.6,Somewhat dissatisfied,Married,Own,Discover,No
327,Male,25,25-34,13,High school degree,Sales and Office,Less than 2,No,24,Under $25,15,Highly dissatisfied,Married,Own,American Express,No
328,Male,60,50-64,12,High school degree,Sales and Office,2 to 5,No,33,$25 - $49,10.1,Somewhat satisfied,Unmarried,Rent,Mastercard,No
329,Male,62,50-64,9,Did not complete high school,Service,More than 15,No,45,$25 - $49,10.8,Somewhat dissatisfied,Married,Own,Visa,Yes
330,Male,39,35-49,15,Some college,Managerial and Professional,6 to 10,No,71,$50 - $74,3.7,Neutral,Married,Own,Mastercard,No
331,Male,35,35-49,16,Some college,Service,6 to 10,No,51,$50 - $74,0.9,Somewhat dissatisfied,Married,Own,Other,No
332,Female,30,25-34,14,High school degree,Sales and Office,Less than 2,No,26,$25 - $49,7.3,Highly dissatisfied,Married,Own,Discover,Yes
333,Male,60,50-64,13,High school degree,Sales and Office,2 to 5,No,30,$25 - $49,12.2,Somewhat satisfied,Married,Own,American Express,No
334,Male,61,50-64,9,Did not complete high school,Managerial and Professional,More than 15,No,105,$75 - $124,10.7,Somewhat satisfied,Married,Own,American Express,No
335,Male,55,50-64,13,High school degree,Agricultural and Natural Resources,More than 15,No,259,$125+,1.7,Highly satisfied,Unmarried,Own,American Express,No
336,Male,26,25-34,16,Some college,Sales and Office,Less than 2,No,40,$25 - $49,17.4,Somewhat dissatisfied,Unmarried,Rent,Visa,No
337,Male,71,65+,13,High school degree,"Operation, Fabrication, General Labor",More than 15,Yes,25,$25 - $49,19.3,Highly satisfied,Married,Own,Discover,No
338,Female,66,65+,13,High school degree,"Precision Production, Craft, Repair",More than 15,No,49,$25 - $49,14.9,Somewhat satisfied,Unmarried,Rent,Visa,No
339,Male,36,35-49,22,Post-undergraduate degree,"Operation, Fabrication, General Labor",6 to 10,No,55,$50 - $74,5.2,Highly satisfied,Married,Own,Visa,No
340,Male,67,65+,14,High school degree,Sales and Office,6 to 10,No,65,$50 - $74,31.1,Somewhat dissatisfied,Married,Own,Visa,Yes
341,Male,54,50-64,14,High school degree,"Precision Production, Craft, Repair",6 to 10,No,24,Under $25,8.1,Highly satisfied,Unmarried,Rent,Mastercard,No
342,Male,66,65+,20,Post-undergraduate degree,"Operation, Fabrication, General Labor",More than 15,Yes,9,Under $25,13.9,Somewhat satisfied,Unmarried,Rent,Mastercard,No
343,Male,27,25-34,12,High school degree,Sales and Office,Less than 2,No,22,Under $25,1.6,Neutral,Married,Own,Discover,No
344,Male,33,25-34,20,Post-undergraduate degree,Managerial and Professional,2 to 5,No,98,$75 - $124,24.4,Neutral,Unmarried,Rent,American Express,Yes
345,Female,26,25-34,15,Some college,Managerial and Professional,Less than 2,No,30,$25 - $49,31.7,Somewhat dissatisfied,Married,Own,Mastercard,Yes
346,Female,37,35-49,11,Did not complete high school,Service,11 to 15,No,57,$50 - $74,22.1,Somewhat satisfied,Unmarried,Own,Mastercard,Yes
347,Male,61,50-64,14,High school degree,Sales and Office,2 to 5,No,28,$25 - $49,13.5,Highly satisfied,Married,Own,American Express,No
348,Male,75,65+,15,Some college,Sales and Office,11 to 15,No,63,$50 - $74,11.4,Somewhat satisfied,Unmarried,Rent,American Express,No
349,Male,46,35-49,12,High school degree,Sales and Office,2 to 5,No,53,$50 - $74,7.1,Highly dissatisfied,Unmarried,Own,Discover,No
350,Female,51,50-64,16,Some college,Sales and Office,6 to 10,No,56,$50 - $74,6.9,Highly satisfied,Unmarried,Rent,Mastercard,No
351,Male,55,50-64,20,Post-undergraduate degree,Managerial and Professional,6 to 10,No,208,$125+,14.1,Somewhat satisfied,Married,Own,Discover,Yes
352,Male,58,50-64,13,High school degree,Sales and Office,6 to 10,Yes,15,Under $25,14.2,Highly satisfied,Married,Rent,Visa,Yes
353,Male,40,35-49,18,College degree,Managerial and Professional,2 to 5,No,101,$75 - $124,2.1,Highly dissatisfied,Unmarried,Rent,Visa,No
354,Male,26,25-34,14,High school degree,Sales and Office,Less than 2,No,19,Under $25,4.1,Neutral,Unmarried,Rent,American Express,Yes
355,Male,32,25-34,15,Some college,Service,2 to 5,No,19,Under $25,21.1,Highly dissatisfied,Married,Own,American Express,Yes
356,Female,42,35-49,17,College degree,Managerial and Professional,11 to 15,No,78,$75 - $124,10.9,Somewhat satisfied,Unmarried,Rent,Discover,No
357,Female,55,50-64,18,College degree,"Operation, Fabrication, General Labor",More than 15,No,91,$75 - $124,25.6,Neutral,Unmarried,Own,American Express,No
358,Male,59,50-64,11,Did not complete high school,Service,More than 15,No,78,$75 - $124,9.2,Highly satisfied,Married,Own,Mastercard,No
359,Female,25,25-34,18,College degree,"Operation, Fabrication, General Labor",Less than 2,No,45,$25 - $49,6.6,Highly dissatisfied,Married,Own,American Express,Yes
360,Male,57,50-64,14,High school degree,Service,More than 15,No,293,$125+,20.8,Somewhat satisfied,Married,Own,Discover,No
361,Female,47,35-49,13,High school degree,Sales and Office,2 to 5,No,29,$25 - $49,15,Neutral,Married,Rent,American Express,No
362,Female,28,25-34,16,Some college,Managerial and Professional,2 to 5,No,25,$25 - $49,8.9,Somewhat dissatisfied,Married,Rent,American Express,No
363,Female,61,50-64,14,High school degree,Service,More than 15,No,61,$50 - $74,9.9,Neutral,Unmarried,Own,Visa,No
364,Female,48,35-49,17,College degree,Agricultural and Natural Resources,6 to 10,No,94,$75 - $124,7,Highly satisfied,Married,Own,Discover,No
365,Male,46,35-49,12,High school degree,Sales and Office,2 to 5,No,37,$25 - $49,2.2,Somewhat dissatisfied,Married,Own,Visa,No
366,Female,52,50-64,13,High school degree,Sales and Office,2 to 5,No,27,$25 - $49,10.8,Somewhat dissatisfied,Married,Own,American Express,No
367,Male,29,25-34,17,College degree,"Precision Production, Craft, Repair",Less than 2,No,24,Under $25,1.9,Somewhat dissatisfied,Married,Rent,Visa,Yes
368,Female,49,35-49,16,Some college,Managerial and Professional,11 to 15,No,44,$25 - $49,5.2,Neutral,Unmarried,Rent,Visa,No
369,Male,41,35-49,19,College degree,Managerial and Professional,2 to 5,No,95,$75 - $124,21.1,Somewhat satisfied,Unmarried,Own,Discover,Yes
370,Male,66,65+,18,College degree,Sales and Office,2 to 5,No,32,$25 - $49,10,Neutral,Married,Own,Discover,No
371,Female,19,18-24,14,High school degree,Managerial and Professional,Less than 2,No,17,Under $25,4.9,Highly dissatisfied,Unmarried,Own,Visa,No
372,Male,44,35-49,14,High school degree,Sales and Office,6 to 10,No,32,$25 - $49,10.5,Somewhat satisfied,Unmarried,Rent,American Express,No
373,Male,52,50-64,16,Some college,"Precision Production, Craft, Repair",More than 15,No,41,$25 - $49,23.8,Neutral,Unmarried,Own,Discover,No
374,Female,50,50-64,16,Some college,"Precision Production, Craft, Repair",More than 15,No,207,$125+,2,Highly satisfied,Unmarried,Own,Mastercard,No
375,Female,61,50-64,13,High school degree,"Operation, Fabrication, General Labor",More than 15,No,339,$125+,5.1,Highly satisfied,Unmarried,Rent,Visa,No
376,Female,71,65+,15,Some college,Sales and Office,11 to 15,No,59,$50 - $74,7.9,Neutral,Married,Own,American Express,No
377,Female,79,65+,15,Some college,"Operation, Fabrication, General Labor",More than 15,Yes,11,Under $25,8.2,Somewhat satisfied,Unmarried,Own,Visa,No
378,Female,39,35-49,14,High school degree,"Operation, Fabrication, General Labor",6 to 10,No,145,$125+,2.7,Neutral,Married,Own,Discover,No
379,Female,50,50-64,19,College degree,"Operation, Fabrication, General Labor",11 to 15,No,60,$50 - $74,9.1,Highly satisfied,Unmarried,Own,Mastercard,No
380,Male,63,50-64,18,College degree,Managerial and Professional,More than 15,No,91,$75 - $124,12.7,Somewhat satisfied,Married,Rent,American Express,No
381,Female,55,50-64,17,College degree,"Precision Production, Craft, Repair",11 to 15,No,54,$50 - $74,4.3,Highly satisfied,Unmarried,Own,Discover,No
382,Male,72,65+,14,High school degree,Managerial and Professional,11 to 15,No,50,$50 - $74,9.4,Somewhat dissatisfied,Married,Rent,Visa,No
383,Male,57,50-64,12,High school degree,Managerial and Professional,More than 15,No,96,$75 - $124,5.8,Highly satisfied,Unmarried,Own,Discover,No
384,Male,74,65+,18,College degree,"Operation, Fabrication, General Labor",More than 15,Yes,66,$50 - $74,18.1,Somewhat satisfied,Unmarried,Rent,Discover,Yes
385,Female,69,65+,14,High school degree,Managerial and Professional,More than 15,No,105,$75 - $124,4.9,Neutral,Married,Rent,Discover,No
386,Female,37,35-49,21,Post-undergraduate degree,Sales and Office,2 to 5,No,147,$125+,12.5,Somewhat dissatisfied,Unmarried,Own,Mastercard,Yes
387,Female,35,35-49,15,Some college,Sales and Office,2 to 5,No,53,$50 - $74,17.7,Highly dissatisfied,Married,Own,Visa,No
388,Female,68,65+,15,Some college,Service,More than 15,No,144,$125+,2.5,Somewhat satisfied,Married,Own,American Express,No
389,Male,51,50-64,14,High school degree,Service,11 to 15,No,66,$50 - $74,4.1,Highly dissatisfied,Married,Rent,American Express,No
